Nth, string addition, bignum fast doubling 
842 ,1493611,9506
843 ,1497425,9562
844 ,1497317,9460
845 ,1498754,10963
846 ,1503282,9526
847 ,1503602,9541
848 ,1504208,9539
849 ,1508097,9517
850 ,1507578,9514
851 ,1511233,9550
852 ,1511023,9532
853 ,1512620,9522
854 ,1516879,9632
855 ,1516196,9516
856 ,1518513,9552
857 ,1521930,9600
858 ,1521788,9725
859 ,1526513,9585
860 ,1526635,9611
861 ,1526726,11117
862 ,1530890,9527
863 ,1530282,9633
864 ,1533968,9521
865 ,1533510,9765
866 ,1535308,9486
867 ,1539353,9603
868 ,1539127,9605
869 ,1542248,9623
870 ,1544421,9565
871 ,1544095,9666
872 ,1548008,9746
873 ,1547828,9650
874 ,1549203,9659
875 ,1552910,9719
876 ,1552916,9641
877 ,1556643,11518
878 ,1556379,9767
879 ,1558426,9732
880 ,1563948,9653
881 ,1562000,9770
882 ,1565725,9636
883 ,1565006,9633
884 ,1566428,9629
885 ,1570433,9698
886 ,1569850,12578
887 ,1574071,9713
888 ,1573633,9657
889 ,1575649,9721
890 ,1579777,9631
891 ,1578714,9708
892 ,1582845,9707
893 ,1582605,11323
894 ,1583904,9752
895 ,1587896,9733
896 ,1587365,9714
897 ,1589108,9623
898 ,1593429,9666
899 ,1594791,9629
900 ,1600677,9705
901 ,1598782,9675
902 ,1600120,9739
903 ,1599691,9748
904 ,1601248,9640
905 ,1605115,9672
906 ,1604737,9621
907 ,1608769,9772
908 ,1608553,9626
909 ,1610144,11213
910 ,1614030,9767
911 ,1613388,9755
912 ,1618839,9700
913 ,1617058,9749
914 ,1618579,9749
915 ,1622726,9891
916 ,1621996,9901
917 ,1626339,9956
918 ,1627404,9937
919 ,1628750,9945
920 ,1632953,9948
921 ,1632332,9985
922 ,1635655,10217
923 ,1634494,10117
924 ,1636097,10178
925 ,1640118,11657
926 ,1639559,10353
927 ,1643446,10234
928 ,1642822,10204
929 ,1646777,10156
930 ,1646468,10234
931 ,1648320,10204
932 ,1652149,10172
933 ,1651730,10161
934 ,1655708,10165
935 ,1655201,10233
936 ,1657000,10218
937 ,1662464,10106
938 ,1661709,10125
939 ,1664319,10105
940 ,1664366,10232
941 ,1670064,11626
942 ,1669711,10267
943 ,1670128,10609
944 ,1673782,10204
945 ,1672512,10249
946 ,1676196,10156
947 ,1676070,10168
948 ,1677760,10120
949 ,1681639,10158
950 ,1681179,10247
951 ,1685391,10248
952 ,1684541,10257
953 ,1688972,10233
954 ,1688419,10328
955 ,1691601,10254
956 ,1698865,10227
957 ,1693982,11840
958 ,1697434,10285
959 ,1697152,10325
960 ,1704897,10191
961 ,1701544,10387
962 ,1702321,10251
963 ,1705975,10288
964 ,1705390,10259
965 ,1709613,10302
966 ,1708803,10300
967 ,1713101,10305
968 ,1712316,10312
969 ,1714188,10270
970 ,1717941,10322
971 ,1717569,10262
972 ,1721875,10307
973 ,1722225,11700
974 ,1728255,10304
975 ,1725182,10355
976 ,1727579,10268
977 ,1730237,10321
978 ,1729827,10352
979 ,1735124,10380
980 ,1735023,10300
981 ,1738510,10285
982 ,1736739,10273
983 ,1740505,10284
984 ,1740370,10337
985 ,1742013,10330
986 ,1745819,10377
987 ,1745619,10343
988 ,1749299,10333
989 ,1748987,12157
990 ,1752878,10407
991 ,1753525,10455
992 ,1755977,10330
993 ,1758595,10407
994 ,1757629,10298
995 ,1761583,10395
996 ,1761103,10314
997 ,1765163,10411
998 ,1764672,10384
999 ,1770119,10397
1000 ,1768259,10351
1001 ,1769851,10381
1002 ,1773707,10476
1003 ,1773185,10470
1004 ,1777182,10458
1005 ,1776762,11893
1006 ,1780575,10501
1007 ,1780375,10592
1008 ,1784766,10574
1009 ,1785057,10642
1010 ,1786154,10507
1011 ,1789624,10670
1012 ,1789085,10742
1013 ,1792781,10654
1014 ,1792429,10710
1015 ,1796356,10719
1016 ,1795886,10749
1017 ,1800641,11051
1018 ,1800035,10859
1019 ,1803430,10917
1020 ,1802779,10875
1021 ,1804521,12475
1022 ,1808341,10969
1023 ,1808116,10904
1024 ,1811738,11009
1025 ,1811531,10968
1026 ,1816274,11068
1027 ,1815673,10982
1028 ,1819699,10959
1029 ,1818819,10930
1030 ,1822797,10952
1031 ,1821841,11003
1032 ,1823755,11027
1033 ,1827377,11008
1034 ,1826965,11078
1035 ,1831555,11073
1036 ,1833884,11017
1037 ,1836154,12599
1038 ,1834295,11112
1039 ,1838352,11090
1040 ,1837649,11022
1041 ,1842702,11062
1042 ,1841074,11094
1043 ,1851937,10988
1044 ,1848746,10993
1045 ,1848878,11115
1046 ,1850934,11031
1047 ,1849949,11104
1048 ,1854146,11074
1049 ,1853021,11048
1050 ,1857438,11027
1051 ,1856562,11046
1052 ,1860642,11142
1053 ,1860121,12466
1054 ,1863958,11066
1055 ,1863648,11188
1056 ,1867468,11126
1057 ,1866959,11118
1058 ,1871877,11023
1059 ,1870653,11116
1060 ,1872977,11190
1061 ,1877519,11169
1062 ,1876808,11101
1063 ,1881479,11102
1064 ,1879253,11125
1065 ,1883194,11203
1066 ,1882776,11080
1067 ,1886512,11155
1068 ,1886351,11123
1069 ,1890189,12673
1070 ,1889527,11198
1071 ,1893799,11207
1072 ,1893214,11177
1073 ,1896838,11144
1074 ,1896475,11204
1075 ,1900608,11151
1076 ,1900432,11209
1077 ,1905320,11288
1078 ,1904066,11250
1079 ,1905549,11274
1080 ,1908549,11214
1081 ,1909085,11237
1082 ,1912965,11209
1083 ,1912187,11210
1084 ,1915863,11248
1085 ,1915642,12761
1086 ,1919775,11249
1087 ,1919121,11326
1088 ,1923200,11229
1089 ,1922529,11218
1090 ,1926559,11196
1091 ,1926260,11273
1092 ,1930738,11287
1093 ,1930543,11245
1094 ,1934248,11192
1095 ,1933670,11246
1096 ,1937740,11413
1097 ,1936892,11451
1098 ,1941964,11460
1099 ,1940616,11444
1100 ,1943629,11486
1101 ,1943240,13093
1102 ,1947156,11510
1103 ,1947211,11612
1104 ,1950907,11569
1105 ,1950254,11710
1106 ,1956110,11514
1107 ,1953948,11631
1108 ,1958419,11886
1109 ,1958394,11845
1110 ,1962086,11888
1111 ,1960925,11862
1112 ,1964649,11858
1113 ,1964406,11788
1114 ,1969111,11842
1115 ,1968762,11732
1116 ,1972328,11831
1117 ,1971318,13292
1118 ,1974889,11755
1119 ,1974784,11799
1120 ,1979266,11832
1121 ,1978571,11767
1122 ,1979537,11802
1123 ,1981769,11725
1124 ,1984172,11825
1125 ,1989531,11759
1126 ,1987523,11680
1127 ,1991143,11771
1128 ,1990236,11871
1129 ,1994109,11877
1130 ,1994430,11814
1131 ,1998490,11792
1132 ,1997408,11846
1133 ,1999049,13320
1134 ,2002730,11887
1135 ,2002303,11844
1136 ,2006265,11825
1137 ,2005800,11825
1138 ,2009883,11824
1139 ,2009613,11807
1140 ,2014444,11788
1141 ,2014647,11879
1142 ,2016598,11845
1143 ,2016449,11838
1144 ,2020705,11900
1145 ,2019861,11875
1146 ,2023788,11822
1147 ,2025682,11844
1148 ,2031137,11834
1149 ,2026934,13345
1150 ,2031095,11882
1151 ,2030159,11877
1152 ,2034471,11739
1153 ,2033751,11833
1154 ,2037955,11836
1155 ,2037603,11806
1156 ,2042897,11829
1157 ,2040956,11871
1158 ,2044631,11898
1159 ,2044083,11882
1160 ,2059148,11895
1161 ,2047606,11857
1162 ,2051771,12145
1163 ,2051428,11882
1164 ,2057191,11921
1165 ,2054694,13325
1166 ,2058527,11909
1167 ,2058041,11915
1168 ,2061898,11776
1169 ,2061553,11821
1170 ,2066009,11980
1171 ,2067051,11906
1172 ,2071780,11877
1173 ,2068730,11851
1174 ,2072424,11970
1175 ,2073087,11940
1176 ,2075843,11887
1177 ,2077788,11915
1178 ,2077130,11922
1179 ,2081101,11957
1180 ,2080608,11939
1181 ,2084382,13535
1182 ,2083931,11949
1183 ,2088247,11944
1184 ,2087573,11949
1185 ,2091597,12005
1186 ,2092254,11960
1187 ,2096811,12010
1188 ,2096105,12002
1189 ,2098652,12135
1190 ,2097875,12110
1191 ,2102311,12212
1192 ,2101417,12205
1193 ,2105345,12213
1194 ,2105028,12241
1195 ,2108732,12354
1196 ,2110595,12275
1197 ,2110295,13782
1198 ,2114440,12411
1199 ,2113695,12340
1200 ,2118252,12317
1201 ,2119964,12683
1202 ,2123129,12521
1203 ,2121411,12561
1204 ,2127542,12419
1205 ,2124338,12426
1206 ,2128122,12447
1207 ,2127244,12293
1208 ,2131302,12385
1209 ,2131157,12371
1210 ,2134959,12360
1211 ,2137599,12432
1212 ,2136069,12424
1213 ,2140418,13987
1214 ,2139786,12534
1215 ,2144762,12457
1216 ,2146248,12271
1217 ,2147810,12495
1218 ,2146889,12460
1219 ,2151509,12334
1220 ,2150555,12477
1221 ,2154204,12358
1222 ,2153530,12463
1223 ,2157192,12505
1224 ,2159701,12418
1225 ,2159616,12391
1226 ,2162546,12461
1227 ,2162292,12473
1228 ,2166343,12544
1229 ,2165736,13839
1230 ,2171172,12478
1231 ,2171832,12492
1232 ,2173556,12431
1233 ,2172694,12459
1234 ,2177050,12471
1235 ,2179459,12465
1236 ,2178079,12543
1237 ,2182036,12432
1238 ,2181368,12482
1239 ,2185269,12520
1240 ,2184680,12411
1241 ,2188751,12487
1242 ,2188366,12490
1243 ,2192331,12473
1244 ,2192683,12528
1245 ,2198357,14003
1246 ,2197477,12565
1247 ,2197093,12584
1248 ,2201789,12485
1249 ,2201021,12423
1250 ,2206801,12577
1251 ,2203762,12482
1252 ,2207633,12595
1253 ,2208022,12535
1254 ,2211636,12519
1255 ,2212704,12560
1256 ,2212376,12534
1257 ,2216553,12441
1258 ,2216512,12568
1259 ,2221952,12512
1260 ,2220054,12554
1261 ,2224902,14148
1262 ,2223091,12680
1263 ,2227056,12595
1264 ,2229193,12485
1265 ,2228747,12521
1266 ,2232180,12574
1267 ,2231555,12567
1268 ,2235817,12539
1269 ,2235122,12565
1270 ,2238872,12630
1271 ,2238501,12613
1272 ,2241643,12598
1273 ,2246166,12592
1274 ,2243933,12626
1275 ,2248093,12636
1276 ,2247121,12675
1277 ,2250893,14120
1278 ,2250916,12861
1279 ,2255295,12795
1280 ,2256599,12781
1281 ,2256191,12727
1282 ,2260060,12794
1283 ,2259748,12748
1284 ,2263518,12777
1285 ,2263710,12837
1286 ,2269466,12936
1287 ,2270580,12890
1288 ,2268532,12948
